episode,reward,steps,goal,collision,epsilon,avg_loss,difficulty
301,32.0500,78,1,0,0.47074,0.227674,easy
302,31.0500,114,1,0,0.46957,0.221681,easy
303,29.7000,109,1,0,0.46839,0.213027,easy
304,-1.6000,51,0,1,0.46722,0.185669,easy
305,27.0000,63,1,0,0.46605,0.219916,easy
306,32.5000,57,1,0,0.46489,0.216522,easy
307,29.0500,91,1,0,0.46373,0.194251,easy
308,28.1000,136,1,0,0.46257,0.222663,easy
309,28.7000,79,1,0,0.46141,0.198233,easy
310,32.2500,176,1,0,0.46026,0.205075,easy
311,26.4000,59,1,0,0.45911,0.199760,easy
312,29.4000,53,1,0,0.45796,0.186865,easy
313,26.9000,89,1,0,0.45681,0.185041,easy
314,28.3000,55,1,0,0.45567,0.175484,easy
315,-5.3000,43,0,1,0.45453,0.178053,easy
316,29.1000,110,1,0,0.45340,0.212679,easy
317,26.4500,40,1,0,0.45226,0.197362,easy
318,30.8500,112,1,0,0.45113,0.200934,easy
319,34.7000,171,1,0,0.45000,0.208205,easy
320,26.3000,148,1,0,0.44888,0.195231,easy
321,31.9500,97,1,0,0.44776,0.205064,easy
322,28.1000,133,1,0,0.44664,0.210879,easy
323,26.3000,219,1,0,0.44552,0.206343,easy
324,31.0000,133,1,0,0.44441,0.215670,easy
325,32.9500,94,1,0,0.44330,0.184576,easy
326,28.7500,83,1,0,0.44219,0.171469,easy
327,4.3500,108,0,1,0.44108,0.197913,easy
328,28.9500,70,1,0,0.43998,0.203066,easy
329,28.4500,299,1,0,0.43888,0.212225,easy
330,33.7000,138,1,0,0.43778,0.241140,easy
331,27.9500,58,1,0,0.43669,0.289396,easy
332,28.4500,66,1,0,0.43560,0.202770,easy
333,30.7000,105,1,0,0.43451,0.210936,easy
334,27.7000,77,1,0,0.43342,0.216589,easy
335,28.5500,82,1,0,0.43234,0.230343,easy
336,33.3000,93,1,0,0.43126,0.234876,easy
337,30.8500,126,1,0,0.43018,0.231602,easy
338,31.1500,64,1,0,0.42910,0.270808,easy
339,29.2500,113,1,0,0.42803,0.202427,easy
340,28.1000,47,1,0,0.42696,0.218483,easy
341,-4.8500,62,0,1,0.42589,0.227193,easy
342,31.2500,122,1,0,0.42483,0.215503,easy
343,22.8500,281,1,0,0.42377,0.225199,easy
344,32.5000,116,1,0,0.42271,0.212302,easy
345,30.7000,63,1,0,0.42165,0.214744,easy
346,32.6000,85,1,0,0.42060,0.280230,easy
347,32.2000,97,1,0,0.41954,0.208804,easy
348,26.2500,88,1,0,0.41850,0.225058,easy
349,34.9500,108,1,0,0.41745,0.249956,easy
350,33.1000,139,1,0,0.41641,0.235987,easy
351,30.5500,198,1,0,0.41536,0.213185,easy
352,30.2500,65,1,0,0.41433,0.228835,easy
353,27.6500,121,1,0,0.41329,0.238297,easy
354,28.2000,203,1,0,0.41226,0.198351,easy
355,26.0000,35,1,0,0.41123,0.195936,easy
356,30.9500,62,1,0,0.41020,0.217259,easy
357,31.6500,88,1,0,0.40917,0.196596,easy
358,29.4000,79,1,0,0.40815,0.186223,easy
359,29.2500,79,1,0,0.40713,0.225711,easy
360,30.4000,154,1,0,0.40611,0.201571,easy
361,31.9500,109,1,0,0.40510,0.255718,easy
362,30.0000,55,1,0,0.40408,0.194057,easy
363,30.0500,266,1,0,0.40307,0.211546,easy
364,33.6500,151,1,0,0.40207,0.235588,easy
